タイトル,読み仮名,カテゴリ,時期,関係する人物,短い説明（一覧用）,タグ,本文,情報源(任意),備考(任意)
イタリア2連勝,いたりあにれんしょう,事件・出来事,KWCC2026イタリア・第2戦,ムラッシュFC,9-2、7-0と連勝し、イタリアで新生チームが2戦2勝を記録,#事件 #KWCC2026 #2連勝 #イタリア #新生ムラッシュ,初戦のZebras FC戦を9-2で制したムラッシュFCは、第2戦でもGEAR 7 FCに7-0で勝利。常設化後初の海外遠征で、開幕から2連勝を飾った。,"https://www.murash.win/kwcc2026/
https://x.com/MurashSports
https://www.youtube.com/watch?v=XNHsHq-ByS8",一時集計／第3戦終了後は3試合総括との重複を整理
GO MURASH GO,ごーむらっしゅごー,セリフ,KWCC2026イタリア・第2戦,ムラッシュFC公式,7-0の勝利結果とともに公式が掲げた、イタリア遠征の応援フレーズ,#セリフ #公式 #GO_MURASH_GO #7対0 #KWCC2026,GEAR 7 FC戦の試合結果を伝える公式投稿では、「7-0 WIN」に続けて「GO MURASH GO!!!」と発信された。遠征中の公式投稿や応援で使われるフレーズ。,"https://x.com/MurashSports
https://search.yahoo.co.jp/realtime/search?p=MURASH%20GEAR%207%207-0",要検討：すでに公式定番句ならWikiより応援フレーズ向き
絶対次決める!!!,ぜったいつぎきめる,セリフ,KWCC2026イタリア・第2戦,加藤純一,プレジデントPKを外した直後、悔しさを爆発させて宣言した言葉,#セリフ #加藤純一 #プレジデントPK #PK失敗 #悔しさ,GEAR 7 FC戦でプレジデントPKを決められなかった加藤純一は、悔しさを露わにしながら「絶対次決める!!!」と宣言した。大差で勝っている試合でも、自分の失敗を本気で悔しがる姿が映し出された。,"https://abema.tv/live-event/fa589e6f-4e35-4157-ba6d-564624a9256b
https://x.com/ABEMA_soccer
https://search.yahoo.co.jp/realtime/search?p=MURASH%20GEAR%207%207-0",統合推奨：既存Wiki『次も絶対俺が決める』の派生・関連エピソード
都合のいいところで電波が,つごうのいいところででんぱが,セリフ,KWCC2026イタリア・第2戦,加藤純一、林陵平,PK失敗を放送席に突っ込まれ、電波トラブルのふりで逃げた一言,#セリフ #加藤純一 #林陵平 #電波 #PK #ABEMA,試合後、林陵平からプレジデントPK失敗を突っ込まれた加藤純一は、「あっ、都合のいいところで電波が……」と返答。聞こえていないふりをする小芝居で追及をかわした。,"https://abema.tv/live-event/fa589e6f-4e35-4157-ba6d-564624a9256b
https://x.com/ABEMA_soccer
https://search.yahoo.co.jp/realtime/search?p=MURASH%20GEAR%207%207-0",有力候補／放送内の正確な文言と該当時刻を確認してから公開
PK決められなくて僕は悲しんでます,ぴーけーきめられなくてぼくはかなしんでます,セリフ,KWCC2026イタリア・第2戦,林陵平、加藤純一,解説の林陵平が、加藤純一へPK失敗を直球で伝えた試合後の一言,#セリフ #林陵平 #加藤純一 #プレジデントPK #ABEMA,7-0の完勝後、解説の林陵平が加藤純一へ投げかけた一言。チームの勝利を称えつつ、唯一決まらなかったプレジデントPKをしっかり拾い、「電波が悪いふり」の返答を引き出した。,"https://abema.tv/live-event/fa589e6f-4e35-4157-ba6d-564624a9256b
https://x.com/ABEMA_soccer
https://search.yahoo.co.jp/realtime/search?p=MURASH%20GEAR%207%207-0",有力候補／『都合のいいところで電波が』と相互リンク推奨
今までで一番いい試合だった,いままででいちばんいいしあいだった,セリフ,KWCC2026イタリア・第2戦,加藤純一,7-0の完勝後、加藤純一がチームの出来を評価した言葉,#セリフ #加藤純一 #ベストゲーム #7対0 #GEAR7,GEAR 7 FC戦後、加藤純一はチームの戦いについて「今までで一番いい試合だったと思います」と手応えを語った。結果だけでなく内容にも自信を見せた一言。,"https://abema.tv/live-event/fa589e6f-4e35-4157-ba6d-564624a9256b
https://x.com/ABEMA_soccer
https://search.yahoo.co.jp/realtime/search?p=MURASH%20GEAR%207%207-0",有力候補／放送内の正確な文言を確認してから公開
叫んだ後に全員へ声かけ,さけんだあとにぜんいんへこえかけ,事件・出来事,KWCC2026イタリア・第2戦,加藤純一、ムラッシュFC選手,PK失敗で叫んだ直後、気持ちを切り替えて選手全員へ声をかけた,#事件 #加藤純一 #声かけ #リーダー #PK失敗,プレジデントPKを外し、悔しさを爆発させた加藤純一。しかし、その後はすぐに選手たちへ声をかけて回った。失敗を引きずらず、チームの勝利へ気持ちを切り替えた場面。,"https://abema.tv/live-event/fa589e6f-4e35-4157-ba6d-564624a9256b
https://www.youtube.com/watch?v=XNHsHq-ByS8
https://search.yahoo.co.jp/realtime/search?p=MURASH%20GEAR%207%207-0",要確認／映像の該当時刻を付けられれば公開価値が高い
デビル太田,でびるおおた,あだ名,KWCC2026イタリア・第2戦,太田宏介,人数が少ない相手へさらにサスペンションを切った采配から生まれた呼び名,#あだ名 #太田宏介 #デビル太田 #悪魔太田 #サスペンション,GEAR 7 FC戦で、相手の人数がすでに少ない状況にもかかわらず、太田監督が秘密兵器のサスペンションを使用し、さらに1人を一時退場させた。容赦のない采配から、ファンに「デビル太田」「悪魔太田」「サスペンション切りの死神」と呼ばれた。,"https://abema.tv/live-event/fa589e6f-4e35-4157-ba6d-564624a9256b
https://x.com/krcc5978_daily
https://search.yahoo.co.jp/realtime/search?p=%E6%82%AA%E9%AD%94%E5%A4%AA%E7%94%B0%20MURASH
https://www.youtube.com/watch?v=XNHsHq-ByS8",最有力候補／ファン発祥と明記／別名3つは1記事へ統合推奨
サスペンション切りの死神,さすぺんしょんぎりのしにがみ,あだ名,KWCC2026イタリア・第2戦,太田宏介,デビル太田と同じ采配から生まれた、さらに物騒な別称,#あだ名 #太田宏介 #死神 #サスペンション #悪魔太田,人数差がある状況でもサスペンションカードを切った太田宏介監督に対し、ファンから飛び出した別称。「デビル太田」「悪魔太田」と同じ場面を指している。,"https://search.yahoo.co.jp/realtime/search?p=%E6%82%AA%E9%AD%94%E5%A4%AA%E7%94%B0%20MURASH
https://abema.tv/live-event/fa589e6f-4e35-4157-ba6d-564624a9256b",単独公開は非推奨／『デビル太田』本文の別名として統合
MURASHのペドリ,むらっしゅのぺどり,あだ名,KWCC2026イタリア・第2戦,中村駿介、林陵平,中盤を支配した中村駿介を、世界的MFになぞらえた異名,#あだ名 #中村駿介 #なかしゅん #ペドリ #ゲームメイク,GEAR 7 FC戦でボールを動かし続けた中村駿介について、視聴者から「放送席がMURASHのペドリと呼んでいた」という反応が広がった。チームの中盤を動かす存在として使われた呼び名。,"https://abema.tv/live-event/fa589e6f-4e35-4157-ba6d-564624a9256b
https://search.yahoo.co.jp/realtime/search?p=MURASH%E3%81%AE%E3%83%9A%E3%83%89%E3%83%AA
https://www.youtube.com/watch?v=XNHsHq-ByS8",要確認／放送内の正確な発言者・時刻を確定するまで保留
なかしゅん―木戸ライン,なかしゅんきどらいん,事件・出来事,KWCC2026イタリア・第2戦,中村駿介、木戸皓貴,中村駿介と木戸皓貴の連係が、攻撃で何度も機能したことを表すファン評,#事件 #中村駿介 #木戸皓貴 #連係 #ライン #GEAR7,GEAR 7 FC戦では、中村駿介が作り、木戸皓貴が前線で仕上げる連係がたびたび機能。視聴者から「なかしゅん―木戸のラインが機能しすぎていた」と評された。,"https://abema.tv/live-event/fa589e6f-4e35-4157-ba6d-564624a9256b
https://search.yahoo.co.jp/realtime/search?p=MURASH%20GEAR%207%207-0
https://www.youtube.com/watch?v=XNHsHq-ByS8",ファン発祥／具体的な該当プレーを2〜3箇所確認してから公開
PKなんてなかった,ぴーけーなんてなかった,セリフ,KWCC2026イタリア・第2戦,ムラッシュFCファン、加藤純一,7-0の大勝の裏で起きたプレジデントPK失敗を、なかったことにするファンのいじり,#セリフ #ファン発祥 #PK #加藤純一 #7対0,チームが7-0で完勝した一方、加藤純一はプレジデントPKを失敗。試合後には「PKなんてなかった」と、唯一の心残りを強引に消そうとするファンの投稿が見られた。,"https://search.yahoo.co.jp/realtime/search?p=MURASH%20GEAR%207%207-0
https://abema.tv/live-event/fa589e6f-4e35-4157-ba6d-564624a9256b",ファン発祥／単独記事よりPK失敗記事の関連語でも可
へいへい弾,へいへいだん,事件・出来事,KWCC2026イタリア・第2戦,梅津怜央,ファンが『へいへい決めた』と沸いた、梅津怜央の得点を指す呼び名候補,#事件 #梅津怜央 #へいへい #ゴール #GEAR7,加入時の本人メッセージ「へいへい」で知られる梅津怜央がゴールを決め、視聴者から「へいへい決めた」と喜びの声が上がった。本人のキャラクターと得点が結びついた呼び名候補。,"https://search.yahoo.co.jp/realtime/search?p=MURASH%20GEAR%207%207-0
https://abema.tv/live-event/fa589e6f-4e35-4157-ba6d-564624a9256b
https://www.youtube.com/watch?v=XNHsHq-ByS8",要確認／得点者と該当時刻を映像で確定するまで非公開推奨
太田JAPAN,おおたじゃぱん,あだ名,KWCC2026イタリア,太田宏介、ムラッシュFC,規律と組織力で連勝した新生チームを、監督名で表したファンの呼称,#あだ名 #太田宏介 #太田JAPAN #新生ムラッシュ #組織,太田宏介監督の就任後、守備の連動や戦い方が整理された新生ムラッシュFC。イタリアでの連勝を受け、ファンの投稿では「太田JAPAN」という呼び方も見られた。,"https://search.yahoo.co.jp/realtime/search?p=MURASH%20GEAR%207%207-0
https://www.murash.win/",ファン発祥／一般的な呼称のため、第3戦後にも定着度確認
まるで別チーム,まるでべつちーむ,セリフ,KWCC2026イタリア・第2戦,ムラッシュFCファン,過去大会と比べ、組織的に戦う新生チームへ寄せられた驚きの声,#セリフ #ファン発祥 #新生ムラッシュ #常設化 #成長,常設化前の大会を見てきたファンから、第2戦のムラッシュFCに対して「まるで別チーム」という反応が上がった。個人技や勢いだけでなく、組織として戦う姿への評価を表す言葉。,"https://search.yahoo.co.jp/realtime/search?p=MURASH%20GEAR%207%207-0
https://www.youtube.com/watch?v=XNHsHq-ByS8",一般表現のため、独立Wikiではなく大会記事の小見出しでも可
2戦16得点,にせんじゅうろくとくてん,事件・出来事,KWCC2026イタリア・第2戦終了時,ムラッシュFC,9得点と7得点を重ね、イタリア遠征の最初の2試合で計16得点,#事件 #KWCC2026 #16得点 #2連勝 #大量得点,Zebras FC戦の9得点、GEAR 7 FC戦の7得点を合わせ、ムラッシュFCは2試合で16得点。常設化後の攻撃力を強烈に印象づけた。,"https://www.murash.win/kwcc2026/
https://x.com/MurashSports/status/2082132641370046733
https://x.com/MurashSports",一時集計／第3戦後に『イタリア3試合総得点』へ更新・統合
選手の力で勝てるチーム,せんしゅのちからでかてるちーむ,事件・出来事,KWCC2026イタリア・第2戦,ムラッシュFC、加藤純一,プレジデントPKが決まらなくても、選手の7得点で完勝した新生チームの象徴,#事件 #新生ムラッシュ #プレジデントPK #7対0 #常設化,過去には加藤純一のプレジデントPKが試合結果を大きく左右する場面も多かった。第2戦ではそのPKが決まらなくても、選手たちだけで7得点を奪って完勝し、チームの自立した強さを示した。,"https://abema.tv/live-event/fa589e6f-4e35-4157-ba6d-564624a9256b
https://www.youtube.com/watch?v=XNHsHq-ByS8
https://search.yahoo.co.jp/realtime/search?p=MURASH%20GEAR%207%207-0",編集的な総括項目／客観的事実とファン解釈を本文で区別
もさり,もさり,あだ名,KWCC2026イタリア,白石郁哉、もこう、加藤純一,白石郁哉が配信者・もこうに似ていると言われ、もこう由来のあだ名「もさり」が定着,#あだ名 #白石郁哉 #ふみや #もさり #もこう #ファン発祥,白石郁哉の通称は「ふみや」だが、イタリア遠征ではなぜか「もさり」と呼ばれるようになった。きっかけは、ファンの間で白石が加藤純一と交流のある配信者・もこうに似ていると言われたこと。さらに、もこうには「もさり」というあだ名がある。元ネタは、視聴者がAIで作った大会サムネイルで、本来の「もこう」が「もさり」のような文字へ変換されていた場面。語感の良さもあり、もこう経由の呼び名がそのまま白石にも定着した。,"https://www.youtube.com/watch?v=Xf2T6lXs2Os&t=146s
https://search.yahoo.co.jp/realtime/search?p=%E7%99%BD%E7%9F%B3%E9%83%81%E5%93%89%20%E3%82%82%E3%81%95%E3%82%8A",公開推奨：高／ファン発祥と明記。「もこうに似ている」は客観的事実ではなく、ファン間で言われていることとして表現する。
